Name	Set	ImageFile	Element	Type	Archetype 1	Archetype 2	Cost	Attack	Defense	Effect
Chrysboar	DAYBREAK	Chrysboar.png	Earth	Elestral	Behemoth	N/A	{Earth}{Earth}	7	5	You can Expend {Earth}{Earth} in order to target an opponent's Elestral. Suppress that Elestral and destroy it.
Chrysoar	BASE_SET	Chrysoar.png	Wind	Elestral	Behemoth	Ethereal	{Wind}{Wind}	8	4	This Chrysoar can attack an opponent's Spirit Deck directly. When this Chrysoar inflicts damage to an opponent you canreturn up to {Wind}{Wind} from your Underworld to your Spirit Deck.
Cirrucoon	BASE_SET	Cirrucoon.png	Wind	Elestral	Insectoid	N/A	{Wind}{Wind}	1	6	During your Draw Phase you can Expend {Wind} in order to Special Ascend this Cirrucoon to Stratomoth from your hand or deck.
Clovie	BASE_SET_PROMOS	Clovie.png	Earth	Elestral	Archaic	Dryad	{Earth}	1	4	When this Clovie receives 1 or more {Earth} you can draw a card.
Coastalith	DAYBREAK	Coastalith.png	Water	Elestral	Golem	N/A	{Water}{Water}	2	8	This Coastalith can be Normal Cast with {Water}{Water} if an opponent has at least 2 Elestrals in Defense Position. When you Cast this Coastalith you can Special Cast a 1 Spirit {Water} Elestral from your hand.
Cockatoodle	FROSTFALL	Cockatoodle.png	Wind	Elestral	Avian	Dragon	{Wind}	4	2	When you Cast this Cockatoodle you can target an opponent's Elestral. That Elestral is Suppressed as long as this Cockatoodle is Enchanted.
Corebral	FROSTFALL	Corebral.png	Water	Elestral	Oceanic	Golem	{Water}	2	2	When you Cast this Corebral an opponent must reveal each face-down card on their field. Destroy each non-Counter Rune revealed this way.
Corebrum	FROSTFALL	Corebrum.png	Water	Elestral	Oceanic	Golem	{Water}{Water}	2	4	This Corebrum gets +2 {Defense} for each face-down card in your Rune Row. While this Corebrum is in Defense Position, your opponent cannot Set cards.
Corvishine	DAYBREAK	Corvishine.png	Solar	Elestral	Avian	Ethereal	{Solar}	2	4	When this Corvishine receives 1 or more {Solar} you can Foretell cards equal to the number of Spirits Enchanting it plus 1. Then you may draw a card and put a card from your hand on top of your deck.
Cyanectar	FROSTFALL	Cyanectar.png	Earth	Elestral	Insectoid	Eldritch	{Earth}	2	1	When a player casts Poison Tipped Arrow, Poisoned Nectar, or Poisoned Tunic you can Special Ascent this Cyanectar to Waspivy from your hand or deck.
Cyclovenom	DAYBREAK	Cyclovenom.png	Wind	Elestral	Insectoid	Eldritch	{Wind}{Wind}	6	2	When this Cyclovenom destroys an Elestral in battle you can Special Cast a Toxiswarm from your hand or deck.
Cygnetrik	BASE_SET	Cygnetrik.png	Thunder	Elestral	Avian	Ethereal	{Thunder}{Thunder}	4	6	You can reveal 12 {Thunder} from your Spirit Deck in order to Special Ascend this Cygnetrik to Ohmperial from your hand or deck.
Cypromal	DAYBREAK	Cypromal.png	Solar	Elestral	Ethereal	N/A	{Solar}	4	1	When you Cast this Cypromal you can Search your deck for a Golden Fleece and Cast it Empowering this Cypromal. Spirits from your Spirit Deck and/or Underworld can be used to Cast that Golden Fleece.
Cyprong	FROSTFALL	Cyprong.png	Earth	Elestral	Dryad	N/A	{Earth}	4	3	While this Cyprong is in Attack Position and an Elestral on your field is destroyed in battle you can return each {Earth} that was Enchanting that Elestral from your Underworld to your Spirit Deck.
Dracodoodle	FROSTFALL	Dracodoodle.png	Wind	Elestral	Avian	Dragon	{Wind}{Wind}	7	3	You can Expend {Wind} in order to Suppress each Elestral on an opponent's field. When this Dracodoodle destroys an opponent's Suppressed Elestral that opponent must Expend {Omni}{Omni}{Omni}.
Dratagua	FROSTFALL	Dratagua.png	Water	Elestral	Aquatic	Dragon	{Water}	1	4	When this Dratagua receives 1 or more {Water} you can return up to {Water}{Water} from your Underworld to your Spirit Deck.
Drataura	DAYBREAK	Drataura.png	Solar	Elestral	Ethereal	Dragon	{Solar}	2	4	You can Nexus {Solar}. When you do, you can return up to {Solar}{Solar} from your Underworld to your Spirit Deck.
Drataya	TOURNAMENT_PACK_ONE	Drataya.png	Earth	Elestral	Dryad	Dragon	{Earth}	2	4	When a player casts Ambrosia you can draw 2 cards.
Eddy	DAYBREAK	Eddy.png	Water	Elestral	Oceanic	Eldritch	{Water}	4	1	When you Cast this Eddy you can change the Position of an Elestral. When a player Casts Rock and a Hard Place you can Special Ascend this Eddy to Kurabyss from your hand or deck.
Elechik	BASE_SET	Elechik.png	Thunder	Elestral	Avian	N/A	{Thunder}	4	1	When you Normal Cast this Elechik you can Search your deck for a Divine Rune and add it to your hand.
Emperowatt	FROSTFALL	Emperowatt.png	Frost/Thunder	Elestral	Avian	N/A	{Frost}{Frost}{Thunder}	11	9	When you Cast this Emperowatt you can Nexus all of your Enchanting Spirits to it. You can Disenchant {Omni}{Omni}{Omni} in any combination of {Frost} and/or {Thunder} in order to destroy each card on an opponent's field.
Emphrostix	FROSTFALL	Emphrostix.png	Frost	Elestral	Avian	Ethereal	{Frost}	2	3	You can Expend {Frost}{Frost} and discard this Emphrostix in order to target and Special Cast a 1 Spirit {Frost} Elestral from your Underworld.
Emphyrix	BASE_SET	Emphyrix.png	Fire	Elestral	Avian	Ethereal	{Fire}	3	3	When this Emphyrix is destroyed in battle or by an opponent's card effect you can Expend {Fire}. If you do, during this turn's End Phase you can Special Cast it from your Underworld.
Equilynx	BASE_SET	Equilynx.png	Earth	Elestral	Dryad	N/A	{Earth}	4	3	You can Nexus up to {Earth}{Earth}. When you do, you can target and destroy a Rune.
Eyevory	BASE_SET	Eyevory.png	Water	Elestral	Aquatic	Behemoth	{Water}{Water}	6	8	This Eyevory gets +2 {Attack} for every Typhlant in your Underworld. You can Expend {Water} in order to Special Cast a Typhlant from your Underworld in Attack Position.
Exaltair	BASE_SET	Exaltair.png	Wind	Elestral	Avian	N/A	{Wind}	3	2	You can Nexus {Wind}{Wind}. When you do, an opponent must Expend {Omni}{Omni}.
Exaltflare	FROSTFALL	Exaltflare.png	Fire	Elestral	Avian	N/A	{Fire}	3	2	You can Nexus up to {Fire}{Fire}. When you do, you can Special Ascend this Exaltflare to an Elestral with Enchantment Cost {Fire} or {Fire}{Fire} from your hand.
Exaltus	DAYBREAK	Exaltus.png	Solar	Elestral	Avian	Ethereal	{Solar}	3	2	You can Nexus up to {Solar}{Solar}. When you do, you can Search your deck for an (Ethereal) Elestral and add it to your hand.
Eyewoolly	FROSTFALL	Eyewoolly.png	Frost	Elestral	Behemoth	N/A	{Frost}{Frost}	8	4	When this Eyewoolly destroys an opponent's Elestral in battle you can Expend {Frost} in order to destroy each of that opponent's Elestrals.
Findust	FROSTFALL	Findust.png	Wind	Elestral	Archaic	N/A	{Wind}	2	2	You can Disenchant {Wind} from this Findust in order to Search your deck for a Rune that costs at least {Wind} and add it to your hand. When a player Casts Sandstorm you can Special Ascend this Findust to Hiboofin from your hand or deck.
Flammamoth	FROSTFALL	Flammamoth.png	Wind/Fire	Elestral	Insectoid	N/A	{Wind}{Wind}{Fire}	9	4	This Flammamoth gets +1 {Attack} for each Enchanting {Wind} on the field. When a player activates a Rune effect, you can Expend {Fire}{Fire} in order to Negate that effect and destroy that Rune. This card's effect can only be activated once per turn.
Flarachne	STRUCTURE_DECK_TRIFERNAL	Flarachne.png	Fire	Elestral	Insectoid	N/A	{Fire}{Fire}	4	8	As long as this Flarachne is Enchanted Elestrals cannot attack the turn they are Cast unless they are {Fire}-Enchanted.
Foamee	STRUCTURE_DECK_MAJESEA	Foamee.png	Water	Elestral	Oceanic	Ethereal	{Water}	2	3	When this Foamee is destroyed in battle you can Special Cast an Elestral with Enchantment Cost {Water} from your deck in Defense Position.
Fowlicane	BASE_SET	Fowlicane.png	Wind	Elestral	Avian	Ethereal	{Wind}{Wind}	7	3	You can Expend {Wind} in order to destroy all Runes or Expend {Wind}{Wind} in order to destroy each of your opponents' Runes.
Fowlipharos	DAYBREAK	Fowlipharos.png	Solar	Elestral	Avian	Ethereal	{Solar}{Solar}	6	7	You can Expend {Solar} in order to reveal each of your opponents' face-down Runes, then destroy up to one Rune revealed this way. This effect cannot be chained by Counter Runes.
Frigicub	FROSTFALL	Frigicub.png	Frost	Elestral	Brute	N/A	{Frost}	4	2	You can Nexus up to {Frost}{Frost}. When you do, you can Enchant {Frost} from your Underworld to this Frigicub.
Frosmite	FROSTFALL	Frosmite.png	Frost	Elestral	Insectoid	N/A	{Frost}	3	1	You can target an opponent's Elestral and give it -5 {Defense} until the End Phase.
Fulgaries	DAYBREAK	Fulgaries.png	Thunder	Elestral	Ethereal	Brute	{Thunder}	2	3	This Fulgaries gets +2 {Attack} for each {Thunder}-Enchanted Rune on your field.
Funglow	FROSTFALL	Funglow.png	Thunder	Elestral	Dryad	N/A	{Thunder}	1	1	{Thunder}-Enchanted Elestrals get +1 {Attack}. When a player casts Thunderstorm you can Special Cast a Brontoglow from your hand or deck.
Fungyde	DAYBREAK	Fungyde.png	Fire	Elestral	Dryad	Spectral	{Fire}	1	1	Your Elestrals cannot be attacked except for this Fungyde. When a player Casts Follow the Wisps you can Special Cast a Brontowisp from your hand or deck.
Galaxair	FROSTFALL	Galaxair.png	Wind	Elestral	Behemoth	Ethereal	{Wind}	3	4	You can target an Elestral and swap its {Attack} with its {Defense} until the End Phase.
Galaxea	STRUCTURE_DECK_MAJESEA	Galaxea.png	Water	Elestral	Oceanic	Ethereal	{Water}	2	5	As long as this Galaxea is Enchanted swap each {Water}-Enchanted Elestral's {Attack} with its {Defense}.
Galvenom	STRUCTURE_DECK_OHMPHERIAL	Galvenom.png	Thunder	Elestral	Insectoid	Eldritch	{Thunder}{Thunder}	6	2	You can Expend {Thunder}{Thunder}{Thunder} in order to target and destroy up to 2 cards.
Gatobolt	BASE_SET	Gatobolt.png	Thunder	Elestral	Behemoth	Archaic	{Thunder}{Thunder}	8	3	You can target a {Thunder}-Enchanted Elestral and give it +1 {Attack} and +1 {Defense} for each {Thunder} Enchanting this Gatobolt until the End Phase.
Gigafflora	FROSTFALL	Gigafflora.png	Earth	Elestral	Dryad	N/A	{Earth}{Earth}	4	7	You can Expend {Earth} in order to target and Special Ascend your Girafflora to this Gigafflora from your hand. During your Draw Phase you can Special Cast a 1 Spirit {Earth} Elestral from your Underworld.
Girafflora	FROSTFALL	Girafflora.png	Earth	Elestral	Dryad	N/A	{Earth}	1	4	When you Normal Cast this Girafflora you can return a 1 Spirit {Earth} Elestral from your Underworld to your hand.
Glaciursa	FROSTFALL	Glaciursa.png	Frost	Elestral	Ursa	N/A	{Frost}{Frost}{Frost}	14	4	This Glaciursa deals Piercing damage. When this Glaciursa enters battle with an Elestral you can Suppress that Elestral.
Glauby	STRUCTURE_DECK_MAJESEA	Glauby.png	Water	Elestral	Oceanic	N/A	{Water}{Water}	4	8	During your Main Phase you can Special Ascend this Glauby to Majesea from your hand or deck if it is {Water}{Water}{Water}-Enchanted.
Glimbatt	DAYBREAK	Glimbatt.png	Solar	Elestral	Ethereal	N/A	{Solar}	2	1	When an opponent activates a crad effect that discards a card from your hand you can discard this Glimbatt in order to Negate that effect and destroy that card. You can Disenchant {Solar} from this Glimbatt in order to draw 2 cards.
Glydesdale	STRUCTURE_DECK_PENTERROR	Glydesdale.png	Wind	Elestral	Ethereal	N/A	{Wind}{Wind}	7	5	You can Expend {Wind} in order to give this Glydesdale +5 {Attack} until the End Phase. As long as this Glydesdale is Empowered by Aeromare it can attack twice each Battle Phase.
Gnawbie	SHATTERED_STARS	Gnawbie.png	Lunar	Elestral	Insectoid	Dragon	{Lunar}	4	1	When this Gnawbie receives 1 or more {Lunar} you can give each Elestral that is not {Lunar}/{Solar}-Enchanted -2 {Attack} until the End Phase. When this Gnawbie destroys an Elestral in battle you can Special Ascend it to Doppelgator from your hand or deck.
Gnomodile	DAYBREAK	Gnomodile.png	Solar/Water	Elestral	Aquatic	Ethereal	{Solar}{Water}	5	6	You can Expend {Solar}{Water} in order to Enchant {Solar}/{Water} from your Underworld to your field and Special Ascend this Gnomodile to Chronodile from your hand or deck.
Griffuse	TOURNAMENT_PACK_ONE	Griffuse.png	Thunder/Wind	Elestral	Avian	Brute	{Thunder}{Wind}	5	3	You can Nexus {Thunder} or {Wind} from a Divine Rune. When you do, you can Special Ascend this Griffuse to Voltempest from your hand or deck.
Helialith	DAYBREAK	Helialith.png	Solar	Elestral	Golem	N/A	{Solar}{Solar}	5	5	This Helialith can be Normal Cast with {Solar}{Solar} if an Artifact is Enchanted. When you Cast this Helialith you can return an Elestral on the field to its owner's hand.
Hiboofin	FROSTFALL	Hiboofin.png	Wind/Earth	Elestral	Archaic	N/A	{Wind}{Earth}	7	2	You can Expend {Wind} or {Earth} in order to change each of your opponents' Elestrals to Defense Position. While this Hiboofin is in Attack Position your opponents' Defense Position Elestrals are Suppressed.
Hummburst	DAYBREAK	Hummburst.png	Fire/Solar	Elestral	Insectoid	N/A	{Fire}{Solar}	4	3	You can Disenchant {Fire}{Solar} from this Hummburst to force an opponent to send the top 6 cards from their deck to their Underworld.
Hummbust	DAYBREAK	Hummbust.png	Fire	Elestral	Insectoid	N/A	{Fire}	1	2	When a player Casts a Rune an opponent must send the top 2 cards from their deck to their Underworld. This effect can be activated up to 4 times in a turn.
Hydrake	STRUCTURE_DECK_PENTERROR	Hydrake.png	Wind	Elestral	Dragon	Eldritch	{Wind}	4	1	When this Hydrake is destroyed in battle you can Special Cast a Twindra from your hand or deck in Attack Position.
Ignectar	BASE_SET_PROMOS	Ignectar.png	Fire	Elestral	Insectoid	N/A	{Fire}	1	2	When you Normal Cast this Ignectar you can Special Cast up to 2 Ignectar from your hand or deck in Attack Position with {Fire}. If you do, you must skip your next Battle Phase.
Javelantis	BASE_SET	Javelantis.png	Water	Elestral	Oceanic	N/A	{Water}{Water}	6	3	When this Javelantis destroys an opponent's Defense Position Elestral in battle that opponent must Expend {Omni}{Omni}{Omni}.
Javeloucan	DAYBREAK	Javeloucan.png	Wind	Elestral	Avian	N/A	{Wind}{Wind}	6	4	When this Javeloucan destroys an opponent's Defense Position Elestral in battle that opponent must Expend {Omni}{Omni}{Omni}.
Jolten	STRUCTURE_DECK_OHMPHERIAL	Jolten.png	Thunder	Elestral	Ethereal	N/A	{Thunder}	4	2	When you Normal Cast this Jolten you can Search your deck for a Stadium Rune and add it to your hand.
Khafmel	DAYBREAK	Khafmel.png	Solar	Elestral	Brute	N/A	{Solar}	3	4	When you Ascend this Khafmel or it is destroyed you can return {Omni}{Omni}{Omni} in any combination of {Solar}/{Lunar} from your Underworld to your Spirit Deck.
Kindleo	STRUCTURE_DECK_TRIFERNAL	Kindleo.png	Fire	Elestral	Brute	Ethereal	{Fire}	3	1	You can Nexus up to {Fire}{Fire}. When you do, you can target and destroy an opponent's Elestral.
Komagma	FROSTFALL	Komagma.png	Fire	Elestral	Golem	N/A	{Fire}	4	2	When this Komagma receives 1 or more {Fire} you can draw a card, then discard a card.
Krakatuga	STRUCTURE_DECK_MAJESEA	Krakatuga.png	Water/Fire	Elestral	Oceanic	Golem	{Water}{Fire}	4	9	You can Expend {Fire}{Fire} to force an opponent to Expend {Omni}{Omni}{Omni}. When a player Casts Eruption you can target and destroy a card.
Krakkid	BASE_SET	Krakkid.png	Water	Elestral	Oceanic	N/A	{Water}	2	2	When you Cast this Krakkid you can target an opponent's Elestral. That Elestral cannot attack and its effect is negated as long as this Krakkid is Enchanted.
Krakking	BASE_SET_PROMOS	Krakking.png	Water	Elestral	Oceanic	Eldritch	{Water}{Water}	5	8	When you Cast this Krakking you can target up to 2 unoccupied slots in an opponent's Elestral Row. Those Elestral slots cannot be used as long as this Krakking is Enchanted.
Kryoling	FROSTFALL	Kryoling.png	Frost	Elestral	Dragon	N/A	{Frost}	1	3	This Kryolong gets +1 {Attack} for each {Frost} in your Underworld. When this Kryoling has 6 or more {Attack} during your Main Phase you must either destroy it or Special Ascend it to Kryovyrn from your hand or deck.
Kryoscorch	FROSTFALL	Kryoscorch.png	Frost/Fire	Elestral	Dragon	Behemoth	{Frost}{Frost}{Fire}	14	5	When you Special Ascend into this Kryoscorch you must destroy all Runes. You can Expend your Spirit Deck (minimum 1 Spirit) to force your opponents to Expend 5 Spirits.
Kryovyrn	FROSTFALL	Kryovyrn.png	Frost	Elestral	Dragon	N/A	{Frost}{Frost}	7	4	During your Draw Phase you can discard your hand (minimum 1 card) in order to Special Ascend this Kryovyrn to Kryoscorch from your deck.
Kurabyss	DAYBREAK	Kurabyss.png	Water	Elestral	Oceanic	Eldritch	{Water}{Water}	9	2	You can Disenchant {Water}{Water} from your field in order to destroy a card. If it is destroyed this way, return {Omni} from your Underworld to your Spirit Deck up to the number of Spirits that were Enchanting that card.
Ladogon	BASE_SET	Ladogon.png	Earth	Elestral	Dryad	Dragon	{Earth}{Earth}	7	8	When a player casts Ambrosia or Golden Apple of Discord you can target and destroy a card.
Larvacell	DAYBREAK	Larvacell.png	Thunder	Elestral	Insectoid	Dragon	{Thunder}	3	1	You can Nexus {Thunder}/{Solar}. When this Larvacell receives 1 or more {Solar} you can Special Ascend it to Anocell from your hand or deck.
Lavalith	FROSTFALL	Lavalith.png	Fire	Elestral	Golem	N/A	{Fire}{Fire}	6	4	This Lavalith can be Normal Cast with {Fire}{Fire} if an opponent has at least 2 more Enchanting Spirits than you do. When you Cast this Lavalith you can target and destroy a Rune.
Leobrite	DAYBREAK	Leobrite.png	Solar	Elestral	Behemoth	Ethereal	{Solar}{Solar}	7	5	You can Foretell 4. You may Special Ascend this Leobrite into a Celestleo Foretold this way.
Leonite	BASE_SET	Leonite.png	Fire	Elestral	Behemoth	Ethereal	{Fire}{Fire}	7	2	As long as this Leonite is in Attack Position players cannot Cast Invoke Runes.
Lochagon	FROSTFALL	Lochagon.png	Water	Elestral	Aquatic	Dragon	{Water}{Water}	2	6	This Lochagon gets +1 {Attack} for each {Water} in your Underworld. When you return 1 or more {Water} from your Underworld to your Spirit Deck you can target and destroy a card.
Lumaroo	DAYBREAK	Lumaroo.png	Solar	Elestral	Brute	N/A	{Solar}	5	2	When this Lumaroo destroys an opponent's Elestral in battle that opponent must send the top 3 cards from their deck to the Underworld.
Lustragon	DAYBREAK	Lustragon.png	Solar	Elestral	Ethereal	Dragon	{Solar}{Solar}	7	6	You can Nexus up to {Solar}{Solar}{Solar}. When this Lustragon receives 1 or more {Solar} in a Nexus you can target and destroy a card.
Lycavolt	BASE_SET	Lycavolt.png	Thunder	Elestral	Behemoth	Eldritch	{Thunder}{Thunder}	6	3	This Lycavolt gets +2 {Attack} for each Ampup in your Underworld. When this Lycavolt destroys an opponent's Elestral in battle you can look at that opponent's hand and discard a card from it.
Majesea	BASE_SET	Majesea.png	Water	Elestral	Oceanic	Dragon	{Water}{Water}{Water}	6	14	This Majesea gets +1 {Attack} for each Enchanting {Water} on your field. {Water}-Enchanted Elestrals cannot be targeted by an opponent's Elestral effect.
Majursa	BASE_SET_PROMOS	Majursa.png	Fire	Elestral	Ursa	N/A	{Fire}{Fire}{Fire}	12	12	This Majursa gets +2 {Attack} for each other (Ursa) Elestral on your field. Your (Ursa) Elestrals that cost 1 Spirit cannot be attacked and cannot be targeted by an opponent's card effect.
Moralith	FROSTFALL	Moralith.png	Frost	Elestral	Golem	N/A	{Frost}{Frost}	6	4	This Moralith can be Normal Cast with {Frost}{Frost} if an opponent has fewer Elestrals in their Underworld than you do. When you Cast this Moralith you must sent the top 5 cards from your deck to the Underworld.
Morphrost - Abominable Form	FROSTFALL	Morphrost-Abominable.png	Frost	Elestral	Behemoth	N/A	{Frost}	1	3	This Morphrost gets +1 {Attack} for each Morphrost in your Underworld. You can Disenchant {Frost} from this Morphrost in order to Special Cast a Morphrost that is not Abominable Form from your Underworld.
Morphrost - Batt Form	DAYBREAK	Morphrost-Batt.png	Frost	Elestral	Behemoth	N/A	{Frost}	1	1	When this Morphrost is discarded you can Special Cast a Morphrost that is not Batt Form from your Underworld.
Morphrost - Indus Form	FROSTFALL	Morphrost-Indus.png	Frost	Elestral	Behemoth	N/A	{Frost}	2	1	When you Normal Cast this Morphrost you can Expend {Frost} in order to Search your deck for up to 2 Morphrost and send them to your Underworld. When this Morphrost is destroyed in battle you can target and destroy a face-down Rune.
Morphrost - Lycan Form	FROSTFALL	Morphrost-Lycan.png	Frost	Elestral	Behemoth	N/A	{Frost}	2	3	You can Expend {Frost} and discard this Morphrost in order to Search your deck for up to 2 Morphrost that are not Lycan Form and add them to your hand.
Morphrost - Terror Form	FROSTFALL	Morphrost-Terror.png	Frost	Elestral	Behemoth	N/A	{Frost}	2	3	Your opponents' Elestrals get -1 {Attack} for each {Frost} Enchanting this Morphrost. When a player activates a card effect that targets a Morphrost you can discard a Morphrost in order to Negate that effect and destroy that card.
Mosstacean	FROSTFALL	Mosstacean.png	Earth	Elestral	Golem	Dryad	{Earth}	4	1	This Mosstacean gets +2 {Attack} for each {Earth} Enchanting it. During your End Phase you must change this Mosstacean to Defense Position if it attacked this turn.
